locationID,lgaName,sa4,state,nationalRemotenessAreas
1,Wagga Wagga,Riverina,NSW,Inner Regional Australia
2,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,NSW,Inner Regional Australia
3,Northern Midlands,Launceston and North East,TAS,Inner Regional Australia
4,Armidale,New England and North West,NSW,Outer Regional Australia
5,Lockyer Valley,Toowoomba,QLD,Inner Regional Australia
6,Wakefield,Barossa - Yorke - Mid North,SA,Outer Regional Australia
7,Southern Downs,Darling Downs - Maranoa,QLD,Inner Regional Australia
8,Brighton,Hobart,TAS,Inner Regional Australia
9,West Tamar,Launceston and North East,TAS,Outer Regional Australia
10,Mid Murray,South Australia - South East,SA,Outer Regional Australia
11,Blue Mountains,Sydney - Outer West and Blue Mountains,NSW,Major Cities of Australia
12,Upper Lachlan,Capital Region,NSW,Inner Regional Australia
13,Wattle Range,South Australia - South East,SA,Outer Regional Australia
14,Cairns,Cairns,QLD,Outer Regional Australia
15,Wollongong,Illawarra,NSW,Major Cities of Australia
16,Penrith,Sydney - Outer West and Blue Mountains,NSW,Major Cities of Australia
17,Upper Hunter,Hunter Valley exc Newcastle,NSW,Outer Regional Australia
18,South Burnett,Wide Bay,QLD,Outer Regional Australia
19,Mid-Western,Central West,NSW,Outer Regional Australia
20,Canterbury-Bankstown,Sydney - Inner South West,NSW,Major Cities of Australia
21,Greater Hume,Murray,NSW,Outer Regional Australia
22,Southern Downs,Darling Downs - Maranoa,QLD,Outer Regional Australia
23,Barossa,Barossa - Yorke - Mid North,SA,Inner Regional Australia
24,Port Macquarie-Hastings,Mid North Coast,NSW,Inner Regional Australia
25,Mackay,Mackay - Isaac - Whitsunday,QLD,Outer Regional Australia
26,Douglas,Cairns,QLD,Outer Regional Australia
27,Yankalilla,South Australia - South East,SA,Inner Regional Australia
28,Logan,Logan - Beaudesert,QLD,Major Cities of Australia
29,Dorset,Launceston and North East,TAS,Outer Regional Australia
30,Armidale,New England and North West,NSW,Inner Regional Australia
31,Nambucca Valley,Mid North Coast,NSW,Inner Regional Australia
32,Narromine,Far West and Orana,NSW,Outer Regional Australia
33,Fraser Coast,Wide Bay,QLD,Inner Regional Australia
34,Unincorporated SA,South Australia - Outback,SA,Very Remote Australia
35,Shellharbour,Illawarra,NSW,Major Cities of Australia
36,Narrabri,New England and North West,NSW,Outer Regional Australia
37,Logan,Logan - Beaudesert,QLD,Inner Regional Australia
38,Cook,Queensland - Outback,QLD,Remote Australia
39,Tenterfield,New England and North West,NSW,Outer Regional Australia
40,Central Coast (NSW),Central Coast,NSW,Major Cities of Australia
41,Tamworth,New England and North West,NSW,Outer Regional Australia
42,Hilltops,Capital Region,NSW,Inner Regional Australia
43,Forbes,Central West,NSW,Outer Regional Australia
44,Toowoomba,Toowoomba,QLD,Inner Regional Australia
45,Lake Macquarie,Newcastle and Lake Macquarie,NSW,Major Cities of Australia
46,Livingstone,Central Queensland,QLD,Remote Australia
47,Blacktown,Sydney - Blacktown,NSW,Major Cities of Australia
48,Balranald,Murray,NSW,Outer Regional Australia
49,Lockhart River,Queensland - Outback,QLD,Very Remote Australia
50,Light,Barossa - Yorke - Mid North,SA,Inner Regional Australia
51,Cassowary Coast,Cairns,QLD,Outer Regional Australia
52,Tumby Bay,South Australia - Outback,SA,Remote Australia
53,Liverpool,Sydney - South West,NSW,Major Cities of Australia
54,Cumberland,Sydney - Parramatta,NSW,Major Cities of Australia
55,Muswellbrook,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
56,Moreton Bay,Moreton Bay - North,QLD,Inner Regional Australia
57,Ballina,Richmond - Tweed,NSW,Inner Regional Australia
58,Kyogle,Richmond - Tweed,NSW,Inner Regional Australia
59,Bundaberg,Wide Bay,QLD,Inner Regional Australia
60,Melbourne,Melbourne - Inner,VIC,Major Cities of Australia
61,Brisbane,Brisbane - South,QLD,Major Cities of Australia
62,Snowy Valleys,Riverina,NSW,Outer Regional Australia
63,Whitsunday,Mackay - Isaac - Whitsunday,QLD,Outer Regional Australia
64,Fairfield,Sydney - South West,NSW,Major Cities of Australia
65,Yass Valley,Capital Region,NSW,Inner Regional Australia
66,Central Highlands (Qld),Central Queensland,QLD,Remote Australia
67,The Hills,Sydney - Baulkham Hills and Hawkesbury,NSW,Major Cities of Australia
68,Salisbury,Adelaide - North,SA,Major Cities of Australia
69,Port Stephens,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
70,Macedon Ranges,Melbourne - North West,VIC,Inner Regional Australia
71,Moyne,Warrnambool and South West,VIC,Inner Regional Australia
72,Cardinia,Melbourne - South East,VIC,Major Cities of Australia
73,East Gippsland,Latrobe - Gippsland,VIC,Outer Regional Australia
74,Hornsby,Sydney - Baulkham Hills and Hawkesbury,NSW,Major Cities of Australia
75,Whittlesea,Melbourne - North East,VIC,Major Cities of Australia
76,Mareeba,Queensland - Outback,QLD,Very Remote Australia
77,Mid-Coast,Mid North Coast,NSW,Inner Regional Australia
78,Rockhampton,Central Queensland,QLD,Inner Regional Australia
79,Ipswich,Ipswich,QLD,Inner Regional Australia
80,Glenelg,Warrnambool and South West,VIC,Outer Regional Australia
81,Western Downs,Darling Downs - Maranoa,QLD,Outer Regional Australia
82,Port Adelaide Enfield,Adelaide - West,SA,Major Cities of Australia
83,Cabonne,Central West,NSW,Outer Regional Australia
84,Gold Coast,Gold Coast,QLD,Major Cities of Australia
85,Unincorporated ACT,Australian Capital Territory,ACT,Major Cities of Australia
86,Frankston,Mornington Peninsula,VIC,Major Cities of Australia
87,Moree Plains,New England and North West,NSW,Outer Regional Australia
88,Parramatta,Sydney - Parramatta,NSW,Major Cities of Australia
89,Meander Valley,Launceston and North East,TAS,Outer Regional Australia
90,Queanbeyan-Palerang,Capital Region,NSW,Major Cities of Australia
91,Snowy Monaro,Capital Region,NSW,Outer Regional Australia
92,Federation,Murray,NSW,Outer Regional Australia
93,Brisbane,Brisbane Inner City,QLD,Major Cities of Australia
94,Cowra,Central West,NSW,Inner Regional Australia
95,Goulburn Mulwaree,Capital Region,NSW,Inner Regional Australia
96,Moreton Bay,Moreton Bay - South,QLD,Major Cities of Australia
97,Gympie,Wide Bay,QLD,Inner Regional Australia
98,Willoughby,Sydney - North Sydney and Hornsby,NSW,Major Cities of Australia
99,Shoalhaven,Capital Region,NSW,Inner Regional Australia
100,Queanbeyan-Palerang,Capital Region,NSW,Inner Regional Australia
101,Greater Bendigo,Bendigo,VIC,Inner Regional Australia
102,Nillumbik,Melbourne - North East,VIC,Inner Regional Australia
103,Wollongong,Illawarra,NSW,Inner Regional Australia
104,South Burnett,Wide Bay,QLD,Inner Regional Australia
105,Tatiara,South Australia - South East,SA,Remote Australia
106,Tweed,Richmond - Tweed,NSW,Inner Regional Australia
107,Mid-Coast,Mid North Coast,NSW,Outer Regional Australia
108,Ipswich,Ipswich,QLD,Major Cities of Australia
109,Ararat,North West,VIC,Inner Regional Australia
110,Colac Otway,Warrnambool and South West,VIC,Inner Regional Australia
111,McKinlay,Queensland - Outback,QLD,Very Remote Australia
112,Singleton,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
113,Gladstone,Central Queensland,QLD,Outer Regional Australia
114,Lithgow,Central West,NSW,Inner Regional Australia
115,Campbelltown (NSW),Sydney - Outer South West,NSW,Major Cities of Australia
116,Sunshine Coast,Sunshine Coast,QLD,Major Cities of Australia
117,Warrumbungle,Far West and Orana,NSW,Outer Regional Australia
118,Noosa,Sunshine Coast,QLD,Major Cities of Australia
119,Port Stephens,Newcastle and Lake Macquarie,NSW,Major Cities of Australia
120,Gawler,Adelaide - North,SA,Major Cities of Australia
121,Alpine,Hume,VIC,Inner Regional Australia
122,Cabonne,Central West,NSW,Inner Regional Australia
123,Brisbane,Ipswich,QLD,Major Cities of Australia
124,Baw Baw,Latrobe - Gippsland,VIC,Inner Regional Australia
125,Isaac,Mackay - Isaac - Whitsunday,QLD,Remote Australia
126,Maranoa,Darling Downs - Maranoa,QLD,Remote Australia
127,Southern Grampians,Warrnambool and South West,VIC,Outer Regional Australia
128,Moreton Bay,Moreton Bay - North,QLD,Major Cities of Australia
129,Cessnock,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
130,Scenic Rim,Logan - Beaudesert,QLD,Inner Regional Australia
131,Somerset,Ipswich,QLD,Inner Regional Australia
132,Hinchinbrook,Townsville,QLD,Remote Australia
133,Mackay,Mackay - Isaac - Whitsunday,QLD,Inner Regional Australia
134,Playford,Adelaide - North,SA,Major Cities of Australia
135,Cobar,Far West and Orana,NSW,Very Remote Australia
136,Ararat,North West,VIC,Outer Regional Australia
137,Adelaide Hills,Adelaide - Central and Hills,SA,Inner Regional Australia
138,Bega Valley,Capital Region,NSW,Outer Regional Australia
139,Tea Tree Gully,Adelaide - North,SA,Major Cities of Australia
140,Kiama,Illawarra,NSW,Inner Regional Australia
141,Moyne,Warrnambool and South West,VIC,Outer Regional Australia
142,Wollondilly,Sydney - Outer South West,NSW,Inner Regional Australia
143,Scenic Rim,Ipswich,QLD,Inner Regional Australia
144,Casey,Melbourne - South East,VIC,Major Cities of Australia
145,Northern Areas,Barossa - Yorke - Mid North,SA,Outer Regional Australia
146,Tablelands,Cairns,QLD,Outer Regional Australia
147,Sydney,Sydney - City and Inner South,NSW,Major Cities of Australia
148,Murrindindi,Hume,VIC,Inner Regional Australia
149,Albury,Murray,NSW,Inner Regional Australia
150,Boroondara,Melbourne - Inner East,VIC,Major Cities of Australia
151,Redland,Brisbane - East,QLD,Major Cities of Australia
152,Playford,Adelaide - North,SA,Inner Regional Australia
153,South Gippsland,Latrobe - Gippsland,VIC,Inner Regional Australia
154,Hinchinbrook,Townsville,QLD,Outer Regional Australia
155,Yarra Ranges,Melbourne - Outer East,VIC,Inner Regional Australia
156,Surf Coast,Geelong,VIC,Inner Regional Australia
157,Mount Barker,Adelaide - Central and Hills,SA,Inner Regional Australia
158,Brisbane,Brisbane - East,QLD,Major Cities of Australia
159,Cessnock,Hunter Valley exc Newcastle,NSW,Major Cities of Australia
160,Maitland,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
161,Hobart,Hobart,TAS,Inner Regional Australia
162,Mitcham,Adelaide - South,SA,Major Cities of Australia
163,Clarence Valley,Coffs Harbour - Grafton,NSW,Inner Regional Australia
164,Adelaide,Adelaide - Central and Hills,SA,Major Cities of Australia
165,Lismore,Richmond - Tweed,NSW,Inner Regional Australia
166,Greater Shepparton,Shepparton,VIC,Inner Regional Australia
167,Merri-bek,Melbourne - North West,VIC,Major Cities of Australia
168,Narrandera,Riverina,NSW,Outer Regional Australia
169,Huon Valley,South East,TAS,Outer Regional Australia
170,Griffith,Riverina,NSW,Outer Regional Australia
171,Wodonga,Hume,VIC,Inner Regional Australia
172,Mid-Coast,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
173,Darebin,Melbourne - Inner,VIC,Major Cities of Australia
174,Ballarat,Ballarat,VIC,Inner Regional Australia
175,Wingecarribee,Southern Highlands and Shoalhaven,NSW,Inner Regional Australia
176,Cardinia,Melbourne - South East,VIC,Inner Regional Australia
177,Maroondah,Melbourne - Outer East,VIC,Major Cities of Australia
178,Tweed,Richmond - Tweed,NSW,Major Cities of Australia
179,North Burnett,Wide Bay,QLD,Outer Regional Australia
180,Moree Plains,New England and North West,NSW,Remote Australia
181,Mornington Peninsula,Mornington Peninsula,VIC,Major Cities of Australia
182,Unley,Adelaide - Central and Hills,SA,Major Cities of Australia
183,Alexandrina,South Australia - South East,SA,Inner Regional Australia
184,Gympie,Wide Bay,QLD,Outer Regional Australia
185,Melton,Melbourne - West,VIC,Major Cities of Australia
186,Burdekin,Townsville,QLD,Outer Regional Australia
187,Knox,Melbourne - Outer East,VIC,Major Cities of Australia
188,Whittlesea,Melbourne - North East,VIC,Inner Regional Australia
189,Monash,Melbourne - South East,VIC,Major Cities of Australia
190,Unincorporated NSW,Far West and Orana,NSW,Very Remote Australia
191,Barcaldine,Queensland - Outback,QLD,Very Remote Australia
192,Wyndham,Melbourne - West,VIC,Major Cities of Australia
193,Glen Innes Severn,New England and North West,NSW,Outer Regional Australia
194,Northern Beaches,Sydney - Northern Beaches,NSW,Major Cities of Australia
195,Townsville,Townsville,QLD,Outer Regional Australia
196,Livingstone,Central Queensland,QLD,Outer Regional Australia
197,Yarra Ranges,Melbourne - Outer East,VIC,Major Cities of Australia
198,Golden Plains,Ballarat,VIC,Inner Regional Australia
199,Cook,Queensland - Outback,QLD,Very Remote Australia
200,Clarence,Hobart,TAS,Inner Regional Australia
201,Georges River,Sydney - Inner South West,NSW,Major Cities of Australia
202,Maitland,Hunter Valley exc Newcastle,NSW,Major Cities of Australia
203,Greater Hume,Murray,NSW,Inner Regional Australia
204,Kingston (Vic.),Melbourne - South East,VIC,Major Cities of Australia
205,Manningham,Melbourne - Inner East,VIC,Major Cities of Australia
206,Bathurst,Central West,NSW,Inner Regional Australia
207,Wudinna,South Australia - Outback,SA,Remote Australia
208,Inverell,New England and North West,NSW,Outer Regional Australia
209,Brimbank,Melbourne - West,VIC,Major Cities of Australia
210,Darebin,Melbourne - North East,VIC,Major Cities of Australia
211,Charles Sturt,Adelaide - West,SA,Major Cities of Australia
212,Flinders (Tas.),Launceston and North East,TAS,Very Remote Australia
213,Burnie,West and North West,TAS,Outer Regional Australia
214,Dubbo,Far West and Orana,NSW,Inner Regional Australia
215,Greater Geelong,Geelong,VIC,Major Cities of Australia
216,Adelaide Hills,Adelaide - Central and Hills,SA,Major Cities of Australia
217,Mitchell,Hume,VIC,Inner Regional Australia
218,Onkaparinga,Adelaide - South,SA,Inner Regional Australia
219,Stonnington,Melbourne - Inner South,VIC,Major Cities of Australia
220,Launceston,Launceston and North East,TAS,Outer Regional Australia
221,Indigo,Hume,VIC,Inner Regional Australia
222,Yarra,Melbourne - Inner,VIC,Major Cities of Australia
223,Port Phillip,Melbourne - Inner,VIC,Major Cities of Australia
224,Waratah-Wynyard,West and North West,TAS,Outer Regional Australia
225,Campaspe,Shepparton,VIC,Inner Regional Australia
226,Barkly,Northern Territory - Outback,NT,Very Remote Australia
227,Blacktown,Sydney - Parramatta,NSW,Major Cities of Australia
228,Blayney,Central West,NSW,Inner Regional Australia
229,Campbelltown (SA),Adelaide - Central and Hills,SA,Major Cities of Australia
230,Latrobe (Vic.),Latrobe - Gippsland,VIC,Inner Regional Australia
231,Palmerston,Darwin,NT,Outer Regional Australia
232,Gunnedah,New England and North West,NSW,Outer Regional Australia
233,Break O'Day,Launceston and North East,TAS,Outer Regional Australia
234,Buloke,North West,VIC,Outer Regional Australia
235,West Wimmera,North West,VIC,Outer Regional Australia
236,Ku-ring-gai,Sydney - North Sydney and Hornsby,NSW,Major Cities of Australia
237,Shoalhaven,Southern Highlands and Shoalhaven,NSW,Inner Regional Australia
238,Warrnambool,Warrnambool and South West,VIC,Inner Regional Australia
239,Berrigan,Murray,NSW,Inner Regional Australia
240,Warren,Far West and Orana,NSW,Remote Australia
241,Moira,Shepparton,VIC,Inner Regional Australia
242,Brisbane,Brisbane - North,QLD,Major Cities of Australia
243,Berri Barmera,South Australia - South East,SA,Outer Regional Australia
244,Moonee Valley,Melbourne - Inner,VIC,Major Cities of Australia
245,Litchfield,Darwin,NT,Outer Regional Australia
246,Greater Dandenong,Melbourne - South East,VIC,Major Cities of Australia
247,Golden Plains,Geelong,VIC,Inner Regional Australia
248,Toowoomba,Darling Downs - Maranoa,QLD,Outer Regional Australia
249,Moonee Valley,Melbourne - North West,VIC,Major Cities of Australia
250,Onkaparinga,Adelaide - South,SA,Major Cities of Australia
251,Inner West,Sydney - Inner West,NSW,Major Cities of Australia
252,Whyalla,South Australia - Outback,SA,Outer Regional Australia
253,Rockhampton,Central Queensland,QLD,Outer Regional Australia
254,Unincorporated SA,South Australia - Outback,SA,Remote Australia
255,Gladstone,Central Queensland,QLD,Inner Regional Australia
256,Noosa,Sunshine Coast,QLD,Inner Regional Australia
257,Mount Isa,Queensland - Outback,QLD,Remote Australia
258,Kingston (Vic.),Melbourne - Inner South,VIC,Major Cities of Australia
259,Toowoomba,Darling Downs - Maranoa,QLD,Inner Regional Australia
260,Maribyrnong,Melbourne - West,VIC,Major Cities of Australia
261,Marion,Adelaide - South,SA,Major Cities of Australia
262,Gold Coast,Gold Coast,QLD,Inner Regional Australia
263,Mildura,North West,VIC,Outer Regional Australia
264,Hornsby,Sydney - North Sydney and Hornsby,NSW,Inner Regional Australia
265,Mansfield,Hume,VIC,Outer Regional Australia
266,Charters Towers,Townsville,QLD,Very Remote Australia
267,Richmond Valley,Richmond - Tweed,NSW,Inner Regional Australia
268,Sutherland,Sydney - Sutherland,NSW,Inner Regional Australia
269,Mid-Western,Central West,NSW,Inner Regional Australia
270,Hume,Melbourne - North West,VIC,Major Cities of Australia
271,Newcastle,Newcastle and Lake Macquarie,NSW,Major Cities of Australia
272,Glen Eira,Melbourne - Inner South,VIC,Major Cities of Australia
273,Sunshine Coast,Sunshine Coast,QLD,Inner Regional Australia
274,Nillumbik,Melbourne - North East,VIC,Major Cities of Australia
275,Yarriambiack,North West,VIC,Remote Australia
276,Pyrenees,Ballarat,VIC,Inner Regional Australia
277,Unincorporated NSW,Far West and Orana,NSW,Remote Australia
278,Strathfield,Sydney - Inner South West,NSW,Major Cities of Australia
279,Bayside (NSW),Sydney - Inner South West,NSW,Major Cities of Australia
280,Coffs Harbour,Coffs Harbour - Grafton,NSW,Inner Regional Australia
281,Lake Macquarie,Newcastle and Lake Macquarie,NSW,Inner Regional Australia
282,Bundaberg,Wide Bay,QLD,Outer Regional Australia
283,Mid Murray,South Australia - South East,SA,Inner Regional Australia
284,Murray Bridge,South Australia - South East,SA,Inner Regional Australia
285,Murray River,Murray,NSW,Outer Regional Australia
286,Camden,Sydney - Outer South West,NSW,Major Cities of Australia
287,Glenorchy,Hobart,TAS,Inner Regional Australia
288,Hornsby,Sydney - North Sydney and Hornsby,NSW,Major Cities of Australia
289,Randwick,Sydney - Eastern Suburbs,NSW,Major Cities of Australia
290,Strathfield,Sydney - Inner West,NSW,Major Cities of Australia
291,Hunters Hill,Sydney - Ryde,NSW,Major Cities of Australia
292,Wangaratta,Hume,VIC,Inner Regional Australia
293,Parkes,Central West,NSW,Outer Regional Australia
294,Dubbo,Far West and Orana,NSW,Outer Regional Australia
295,Byron,Richmond - Tweed,NSW,Inner Regional Australia
296,Cabonne,Far West and Orana,NSW,Outer Regional Australia
297,Unincorporated ACT,Australian Capital Territory,ACT,Inner Regional Australia
298,Moorabool,Ballarat,VIC,Inner Regional Australia
299,Isaac,Mackay - Isaac - Whitsunday,QLD,Outer Regional Australia
300,Benalla,Hume,VIC,Inner Regional Australia
301,Bellingen,Coffs Harbour - Grafton,NSW,Inner Regional Australia
302,Wellington,Latrobe - Gippsland,VIC,Inner Regional Australia
303,Central Coast (NSW),Central Coast,NSW,Inner Regional Australia
304,Edward River,Murray,NSW,Outer Regional Australia
305,Coorong,South Australia - South East,SA,Outer Regional Australia
306,George Town,Launceston and North East,TAS,Outer Regional Australia
307,Ryde,Sydney - Ryde,NSW,Major Cities of Australia
308,Bass Coast,Latrobe - Gippsland,VIC,Inner Regional Australia
309,Richmond,Queensland - Outback,QLD,Very Remote Australia
310,Northern Midlands,Launceston and North East,TAS,Outer Regional Australia
311,Strathbogie,Hume,VIC,Inner Regional Australia
312,Hay,Murray,NSW,Remote Australia
313,Weddin,Central West,NSW,Outer Regional Australia
314,Moorabool,Melbourne - West,VIC,Inner Regional Australia
315,Moira,Shepparton,VIC,Outer Regional Australia
316,Lachlan,Central West,NSW,Outer Regional Australia
317,Waverley,Sydney - Eastern Suburbs,NSW,Major Cities of Australia
318,Northern Grampians,North West,VIC,Outer Regional Australia
319,Charters Towers,Townsville,QLD,Outer Regional Australia
320,Mareeba,Cairns,QLD,Outer Regional Australia
321,Horsham,North West,VIC,Outer Regional Australia
322,Adelaide Plains,Adelaide - North,SA,Inner Regional Australia
323,Stonnington,Melbourne - Inner,VIC,Major Cities of Australia
324,Mount Remarkable,Barossa - Yorke - Mid North,SA,Outer Regional Australia
325,Gilgandra,Far West and Orana,NSW,Outer Regional Australia
326,Adelaide Plains,Barossa - Yorke - Mid North,SA,Inner Regional Australia
327,Goondiwindi,Darling Downs - Maranoa,QLD,Outer Regional Australia
328,Mitchell,Melbourne - North East,VIC,Inner Regional Australia
329,Cassowary Coast,Cairns,QLD,Remote Australia
330,Clare and Gilbert Valleys,Barossa - Yorke - Mid North,SA,Outer Regional Australia
331,Brisbane,Brisbane - West,QLD,Major Cities of Australia
332,Moreton Bay,Moreton Bay - South,QLD,Inner Regional Australia
333,West Torrens,Adelaide - West,SA,Major Cities of Australia
334,Yarriambiack,North West,VIC,Outer Regional Australia
335,Snowy Valleys,Riverina,NSW,Inner Regional Australia
336,Whitehorse,Melbourne - Outer East,VIC,Major Cities of Australia
337,Cloncurry,Queensland - Outback,QLD,Very Remote Australia
338,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,NSW,Outer Regional Australia
339,Western Downs,Darling Downs - Maranoa,QLD,Remote Australia
340,Penrith,Sydney - South West,NSW,Major Cities of Australia
341,Redland,Brisbane - East,QLD,Outer Regional Australia
342,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,NSW,Major Cities of Australia
343,Sorell,Hobart,TAS,Inner Regional Australia
344,Towong,Hume,VIC,Outer Regional Australia
345,Grant,South Australia - South East,SA,Outer Regional Australia
346,Hepburn,Ballarat,VIC,Inner Regional Australia
347,Central Highlands (Qld),Central Queensland,QLD,Outer Regional Australia
348,Charters Towers,Townsville,QLD,Remote Australia
349,Blayney,Central West,NSW,Outer Regional Australia
350,Hilltops,Capital Region,NSW,Outer Regional Australia
351,Lockyer Valley,Ipswich,QLD,Inner Regional Australia
352,Circular Head,West and North West,TAS,Remote Australia
353,Swan Hill,North West,VIC,Outer Regional Australia
354,Murrumbidgee,Riverina,NSW,Outer Regional Australia
355,Upper Lachlan,Capital Region,NSW,Outer Regional Australia
356,Orange,Central West,NSW,Inner Regional Australia
357,Launceston,Launceston and North East,TAS,Inner Regional Australia
358,Cowra,Central West,NSW,Outer Regional Australia
359,Walkerville,Adelaide - Central and Hills,SA,Major Cities of Australia
360,Bayside (NSW),Sydney - City and Inner South,NSW,Major Cities of Australia
361,Sutherland,Illawarra,NSW,Inner Regional Australia
362,Whitehorse,Melbourne - Inner East,VIC,Major Cities of Australia
363,Wentworth,Murray,NSW,Remote Australia
364,Tasman,South East,TAS,Outer Regional Australia
365,Latrobe (Tas.),West and North West,TAS,Outer Regional Australia
366,Port Augusta,South Australia - Outback,SA,Outer Regional Australia
367,Benalla,Hume,VIC,Outer Regional Australia
368,Liverpool Plains,New England and North West,NSW,Outer Regional Australia
369,Mornington Peninsula,Mornington Peninsula,VIC,Inner Regional Australia
370,Banana,Central Queensland,QLD,Outer Regional Australia
371,Mount Barker,Adelaide - Central and Hills,SA,Major Cities of Australia
372,Inner West,Sydney - City and Inner South,NSW,Major Cities of Australia
373,Eurobodalla,Capital Region,NSW,Inner Regional Australia
374,Sutherland,Sydney - Sutherland,NSW,Major Cities of Australia
375,Barunga West,Barossa - Yorke - Mid North,SA,Outer Regional Australia
376,Tamworth,New England and North West,NSW,Inner Regional Australia
377,West Coast,West and North West,TAS,Remote Australia
378,Tatiara,South Australia - South East,SA,Outer Regional Australia
379,Snowy Monaro,Capital Region,NSW,Inner Regional Australia
380,Etheridge,Queensland - Outback,QLD,Very Remote Australia
381,Bland,Central West,NSW,Outer Regional Australia
382,Oberon,Central West,NSW,Outer Regional Australia
383,Maranoa,Darling Downs - Maranoa,QLD,Outer Regional Australia
384,Corangamite,Warrnambool and South West,VIC,Inner Regional Australia
385,Yorke Peninsula,Barossa - Yorke - Mid North,SA,Outer Regional Australia
386,Derwent Valley,Hobart,TAS,Inner Regional Australia
387,Hornsby,Sydney - Ryde,NSW,Major Cities of Australia
388,Port Pirie,Barossa - Yorke - Mid North,SA,Outer Regional Australia
389,Muswellbrook,Hunter Valley exc Newcastle,NSW,Outer Regional Australia
390,Circular Head,West and North West,TAS,Outer Regional Australia
391,Devonport,West and North West,TAS,Outer Regional Australia
392,Flinders (Qld),Queensland - Outback,QLD,Very Remote Australia
393,Burwood,Sydney - Inner West,NSW,Major Cities of Australia
394,Alice Springs,Northern Territory - Outback,NT,Remote Australia
395,Nambucca Valley,Mid North Coast,NSW,Outer Regional Australia
396,Somerset,Moreton Bay - North,QLD,Outer Regional Australia
397,Victoria Daly,Northern Territory - Outback,NT,Very Remote Australia
398,Lachlan,Central West,NSW,Remote Australia
