locationID,lgaName,sa4,state,nationalRemotenessAreas
399,Gwydir,New England and North West,NSW,Outer Regional Australia
400,Port Adelaide Enfield,Adelaide - North,SA,Major Cities of Australia
401,Macedon Ranges,Bendigo,VIC,Inner Regional Australia
402,Banyule,Melbourne - North East,VIC,Major Cities of Australia
403,Lithgow,Central West,NSW,Outer Regional Australia
404,Federation,Murray,NSW,Inner Regional Australia
405,Wagga Wagga,Riverina,NSW,Outer Regional Australia
406,Coonamble,Far West and Orana,NSW,Remote Australia
407,Kempsey,Mid North Coast,NSW,Inner Regional Australia
408,Carrathool,Riverina,NSW,Outer Regional Australia
409,Barcoo,Queensland - Outback,QLD,Very Remote Australia
410,Mareeba,Queensland - Outback,QLD,Outer Regional Australia
411,Hobsons Bay,Melbourne - West,VIC,Major Cities of Australia
412,Temora,Riverina,NSW,Outer Regional Australia
413,Karoonda East Murray,South Australia - South East,SA,Outer Regional Australia
414,Livingstone,Central Queensland,QLD,Inner Regional Australia
415,Unincorporated Vic,Latrobe - Gippsland,VIC,Outer Regional Australia
416,Gannawarra,North West,VIC,Outer Regional Australia
417,Blue Mountains,Sydney - Outer West and Blue Mountains,NSW,Inner Regional Australia
418,Ceduna,South Australia - Outback,SA,Very Remote Australia
419,Parramatta,Sydney - Ryde,NSW,Major Cities of Australia
420,Whitsunday,Mackay - Isaac - Whitsunday,QLD,Remote Australia
421,Shellharbour,Illawarra,NSW,Inner Regional Australia
422,Darwin,Darwin,NT,Outer Regional Australia
423,Baw Baw,Latrobe - Gippsland,VIC,Outer Regional Australia
424,Central Desert,Northern Territory - Outback,NT,Very Remote Australia
425,Sutherland,Sydney - Outer South West,NSW,Inner Regional Australia
426,Kempsey,Mid North Coast,NSW,Outer Regional Australia
427,Wudinna,South Australia - Outback,SA,Very Remote Australia
428,Murweh,Queensland - Outback,QLD,Very Remote Australia
429,Eurobodalla,Capital Region,NSW,Outer Regional Australia
430,Renmark Paringa,South Australia - South East,SA,Outer Regional Australia
431,Loxton Waikerie,South Australia - South East,SA,Outer Regional Australia
432,Central Coast (Tas.),West and North West,TAS,Outer Regional Australia
433,Berrigan,Murray,NSW,Outer Regional Australia
434,Norwood Payneham and St Peters,Adelaide - Central and Hills,SA,Major Cities of Australia
435,Sorell,Hobart,TAS,Outer Regional Australia
436,Clarence Valley,Coffs Harbour - Grafton,NSW,Outer Regional Australia
437,Yass Valley,Capital Region,NSW,Major Cities of Australia
438,MacDonnell,Northern Territory - Outback,NT,Very Remote Australia
439,Leeton,Riverina,NSW,Outer Regional Australia
440,Balranald,Murray,NSW,Remote Australia
441,Scenic Rim,Gold Coast,QLD,Inner Regional Australia
442,Port Macquarie-Hastings,Mid North Coast,NSW,Outer Regional Australia
443,Kingborough,South East,TAS,Outer Regional Australia
444,Merri-bek,Melbourne - Inner,VIC,Major Cities of Australia
445,Copper Coast,Barossa - Yorke - Mid North,SA,Outer Regional Australia
446,Lockhart,Riverina,NSW,Inner Regional Australia
447,Naracoorte Lucindale,South Australia - South East,SA,Outer Regional Australia
448,Southern Mallee,South Australia - South East,SA,Remote Australia
449,Glen Innes Severn,New England and North West,NSW,Inner Regional Australia
450,Hornsby,Sydney - Baulkham Hills and Hawkesbury,NSW,Inner Regional Australia
451,Kentish,West and North West,TAS,Outer Regional Australia
452,Goyder,Barossa - Yorke - Mid North,SA,Inner Regional Australia
453,Brimbank,Melbourne - North West,VIC,Major Cities of Australia
454,Flinders Ranges,South Australia - Outback,SA,Outer Regional Australia
455,Greater Geelong,Geelong,VIC,Inner Regional Australia
456,Loddon,Bendigo,VIC,Inner Regional Australia
457,Junee,Riverina,NSW,Inner Regional Australia
458,Victor Harbor,South Australia - South East,SA,Inner Regional Australia
459,Burnside,Adelaide - Central and Hills,SA,Major Cities of Australia
460,Coomalie ,Northern Territory - Outback,NT,Remote Australia
461,Manningham,Melbourne - Outer East,VIC,Major Cities of Australia
462,Corangamite,Warrnambool and South West,VIC,Outer Regional Australia
463,Wakefield,Barossa - Yorke - Mid North,SA,Inner Regional Australia
464,Mosman,Sydney - North Sydney and Hornsby,NSW,Major Cities of Australia
465,Glamorgan-Spring Bay,South East,TAS,Outer Regional Australia
466,Hawkesbury,Sydney - Outer West and Blue Mountains,NSW,Major Cities of Australia
467,Penrith,Sydney - Outer West and Blue Mountains,NSW,Inner Regional Australia
468,Southern Midlands,South East,TAS,Outer Regional Australia
469,Scenic Rim,Logan - Beaudesert,QLD,Outer Regional Australia
470,Mount Alexander,Bendigo,VIC,Inner Regional Australia
471,North Sydney,Sydney - North Sydney and Hornsby,NSW,Major Cities of Australia
472,Roper Gulf,Northern Territory - Outback,NT,Very Remote Australia
473,Western Downs,Darling Downs - Maranoa,QLD,Inner Regional Australia
474,Woollahra,Sydney - Eastern Suburbs,NSW,Major Cities of Australia
475,Prospect,Adelaide - Central and Hills,SA,Major Cities of Australia
476,Mareeba,Queensland - Outback,QLD,Remote Australia
477,Mildura,North West,VIC,Remote Australia
478,Wellington,Latrobe - Gippsland,VIC,Outer Regional Australia
479,Northern Peninsula Area,Queensland - Outback,QLD,Very Remote Australia
480,Mitchell,Melbourne - North East,VIC,Major Cities of Australia
481,Wingecarribee,Sydney - Outer South West,NSW,Inner Regional Australia
482,Kyogle,Richmond - Tweed,NSW,Outer Regional Australia
483,Port Stephens,Hunter Valley exc Newcastle,NSW,Major Cities of Australia
484,Unincorporated NT,Darwin,NT,Outer Regional Australia
485,Orroroo Carrieton,Barossa - Yorke - Mid North,SA,Outer Regional Australia
486,Central Goldfields,Ballarat,VIC,Inner Regional Australia
487,Unincorporated NT,Northern Territory - Outback,NT,Remote Australia
488,Central Darling,Far West and Orana,NSW,Very Remote Australia
489,Balonne,Darling Downs - Maranoa,QLD,Remote Australia
490,Kingborough,Hobart,TAS,Inner Regional Australia
491,Maranoa,Darling Downs - Maranoa,QLD,Very Remote Australia
492,Loddon,Bendigo,VIC,Outer Regional Australia
493,Walgett,Far West and Orana,NSW,Remote Australia
494,Coolamon,Riverina,NSW,Outer Regional Australia
495,Bulloo,Queensland - Outback,QLD,Very Remote Australia
496,Bellingen,Coffs Harbour - Grafton,NSW,Outer Regional Australia
497,Lane Cove,Sydney - North Sydney and Hornsby,NSW,Major Cities of Australia
498,Walcha,New England and North West,NSW,Outer Regional Australia
499,Northern Grampians,North West,VIC,Inner Regional Australia
500,Bogan,Far West and Orana,NSW,Very Remote Australia
501,The Hills,Sydney - Baulkham Hills and Hawkesbury,NSW,Inner Regional Australia
502,South Gippsland,Latrobe - Gippsland,VIC,Outer Regional Australia
503,West Tamar,Launceston and North East,TAS,Inner Regional Australia
504,Wollondilly,Illawarra,NSW,Inner Regional Australia
505,Cleve,South Australia - Outback,SA,Remote Australia
506,West Arnhem,Northern Territory - Outback,NT,Remote Australia
507,Wentworth,Murray,NSW,Outer Regional Australia
508,Canterbury-Bankstown,Sydney - Parramatta,NSW,Major Cities of Australia
509,King Island,West and North West,TAS,Very Remote Australia
510,Kangaroo Island,South Australia - South East,SA,Remote Australia
511,Meander Valley,Launceston and North East,TAS,Inner Regional Australia
512,Uralla,New England and North West,NSW,Inner Regional Australia
513,Holdfast Bay,Adelaide - South,SA,Major Cities of Australia
514,Douglas,Cairns,QLD,Remote Australia
515,Carrathool,Riverina,NSW,Remote Australia
516,Murrindindi,Melbourne - North East,VIC,Inner Regional Australia
517,Bogan,Far West and Orana,NSW,Remote Australia
518,Alpine,Hume,VIC,Outer Regional Australia
519,Brewarrina,Far West and Orana,NSW,Very Remote Australia
520,Wollondilly,Sydney - Outer West and Blue Mountains,NSW,Inner Regional Australia
521,East Arnhem,Northern Territory - Outback,NT,Very Remote Australia
522,Port Lincoln,South Australia - Outback,SA,Remote Australia
523,Carpentaria,Queensland - Outback,QLD,Very Remote Australia
524,Light,Adelaide - North,SA,Inner Regional Australia
525,Camden,Sydney - South West,NSW,Major Cities of Australia
526,Queanbeyan-Palerang,Capital Region,NSW,Outer Regional Australia
527,Longreach,Queensland - Outback,QLD,Very Remote Australia
528,Maitland,Newcastle and Lake Macquarie,NSW,Major Cities of Australia
529,Colac Otway,Warrnambool and South West,VIC,Outer Regional Australia
530,Lower Eyre Peninsula,South Australia - Outback,SA,Remote Australia
531,MacDonnell,Northern Territory - Outback,NT,Remote Australia
532,York,Western Australia - Wheat Belt,WA,Inner Regional Australia
533,Rockingham,Perth - South West,WA,Major Cities of Australia
534,Plantagenet,Western Australia - Wheat Belt,WA,Outer Regional Australia
535,Kwinana,Perth - South West,WA,Major Cities of Australia
536,Murray,Mandurah,WA,Inner Regional Australia
537,Dumbleyung,Western Australia - Wheat Belt,WA,Remote Australia
538,Port Hedland,Western Australia - Outback (North),WA,Remote Australia
539,Coolamon,Riverina,NSW,Inner Regional Australia
540,Stirling,Perth - North West,WA,Major Cities of Australia
541,Robe,South Australia - South East,SA,Outer Regional Australia
542,Cambridge,Perth - Inner,WA,Major Cities of Australia
543,Wanneroo,Perth - North West,WA,Major Cities of Australia
544,Somerset,Moreton Bay - North,QLD,Inner Regional Australia
545,Richmond Valley,Richmond - Tweed,NSW,Outer Regional Australia
546,Gosnells,Perth - South East,WA,Major Cities of Australia
547,Dandaragan,Western Australia - Wheat Belt,WA,Outer Regional Australia
548,The Hills,Sydney - Ryde,NSW,Major Cities of Australia
549,Serpentine-Jarrahdale,Perth - South East,WA,Major Cities of Australia
550,Mandurah,Mandurah,WA,Major Cities of Australia
551,Southern Mallee,South Australia - South East,SA,Outer Regional Australia
552,Woodanilling,Western Australia - Wheat Belt,WA,Outer Regional Australia
553,Warrumbungle,Central West,NSW,Outer Regional Australia
554,Dowerin,Western Australia - Wheat Belt,WA,Outer Regional Australia
555,Kalgoorlie-Boulder,Western Australia - Outback (South),WA,Outer Regional Australia
556,Greater Geraldton,Western Australia - Outback (South),WA,Outer Regional Australia
557,Harvey,Bunbury,WA,Inner Regional Australia
558,Serpentine-Jarrahdale,Perth - South East,WA,Inner Regional Australia
559,Bayswater,Perth - North East,WA,Major Cities of Australia
560,Swan,Perth - North East,WA,Major Cities of Australia
561,Doomadgee,Queensland - Outback,QLD,Very Remote Australia
562,Croydon,Queensland - Outback,QLD,Very Remote Australia
563,West Arnhem,Northern Territory - Outback,NT,Very Remote Australia
564,Albany,Western Australia - Wheat Belt,WA,Outer Regional Australia
565,Central Highlands (Tas.),South East,TAS,Outer Regional Australia
566,Lockhart,Riverina,NSW,Outer Regional Australia
567,Chittering,Western Australia - Wheat Belt,WA,Inner Regional Australia
568,Canning,Perth - South East,WA,Major Cities of Australia
569,Perenjori,Western Australia - Outback (South),WA,Remote Australia
570,Mount Magnet,Western Australia - Outback (South),WA,Very Remote Australia
571,Donnybrook-Balingup,Bunbury,WA,Inner Regional Australia
572,Cobar,Far West and Orana,NSW,Remote Australia
573,Hope Vale,Queensland - Outback,QLD,Remote Australia
574,Augusta Margaret River,Bunbury,WA,Outer Regional Australia
575,Vincent,Perth - Inner,WA,Major Cities of Australia
576,Wickepin,Western Australia - Wheat Belt,WA,Outer Regional Australia
577,Clare and Gilbert Valleys,Barossa - Yorke - Mid North,SA,Inner Regional Australia
578,Wangaratta,Hume,VIC,Outer Regional Australia
579,Melton,Melbourne - North West,VIC,Major Cities of Australia
580,Cockburn,Perth - South West,WA,Major Cities of Australia
581,Kalgoorlie-Boulder,Western Australia - Outback (South),WA,Very Remote Australia
582,Victoria Park,Perth - South East,WA,Major Cities of Australia
583,Armadale,Perth - South East,WA,Major Cities of Australia
584,Bunbury,Bunbury,WA,Inner Regional Australia
585,Gingin,Western Australia - Wheat Belt,WA,Inner Regional Australia
586,Moora,Western Australia - Wheat Belt,WA,Remote Australia
587,Perth,Perth - Inner,WA,Major Cities of Australia
588,Busselton,Bunbury,WA,Inner Regional Australia
589,Williams,Western Australia - Wheat Belt,WA,Outer Regional Australia
590,Augusta Margaret River,Bunbury,WA,Inner Regional Australia
591,Derwent Valley,South East,TAS,Outer Regional Australia
592,Quilpie,Queensland - Outback,QLD,Very Remote Australia
593,Kojonup,Western Australia - Wheat Belt,WA,Outer Regional Australia
594,Mount Marshall,Western Australia - Wheat Belt,WA,Remote Australia
595,Kingston (SA),South Australia - South East,SA,Outer Regional Australia
596,Karratha,Western Australia - Outback (North),WA,Remote Australia
597,Elliston,South Australia - Outback,SA,Very Remote Australia
598,Coolgardie,Western Australia - Outback (South),WA,Very Remote Australia
599,Tablelands,Cairns,QLD,Remote Australia
600,Monash,Melbourne - Inner South,VIC,Major Cities of Australia
601,Derby-West Kimberley,Western Australia - Outback (North),WA,Very Remote Australia
602,Mundaring,Perth - North East,WA,Inner Regional Australia
603,Light,Adelaide - North,SA,Major Cities of Australia
604,Belmont,Perth - South East,WA,Major Cities of Australia
605,Nungarin,Western Australia - Wheat Belt,WA,Remote Australia
606,Bayside (Vic.),Melbourne - Inner South,VIC,Major Cities of Australia
607,Northam,Western Australia - Wheat Belt,WA,Inner Regional Australia
608,Port Hedland,Western Australia - Outback (North),WA,Very Remote Australia
609,Melville,Perth - South West,WA,Major Cities of Australia
610,Bassendean,Perth - North East,WA,Major Cities of Australia
611,Yilgarn,Western Australia - Wheat Belt,WA,Remote Australia
612,Broome,Western Australia - Outback (North),WA,Very Remote Australia
613,Chapman Valley,Western Australia - Outback (South),WA,Remote Australia
614,Uralla,New England and North West,NSW,Outer Regional Australia
615,Broomehill-Tambellup,Western Australia - Wheat Belt,WA,Outer Regional Australia
616,Meekatharra,Western Australia - Outback (South),WA,Very Remote Australia
617,Esperance,Western Australia - Outback (South),WA,Remote Australia
618,Sunshine Coast,Moreton Bay - North,QLD,Inner Regional Australia
619,Capel,Bunbury,WA,Inner Regional Australia
620,Dundas,Western Australia - Outback (South),WA,Very Remote Australia
621,Federation,Riverina,NSW,Outer Regional Australia
622,Towong,Hume,VIC,Inner Regional Australia
623,Lake Grace,Western Australia - Wheat Belt,WA,Very Remote Australia
624,Dardanup,Bunbury,WA,Inner Regional Australia
625,Kondinin,Western Australia - Wheat Belt,WA,Very Remote Australia
626,Kent,Western Australia - Wheat Belt,WA,Remote Australia
627,Canada Bay,Sydney - Inner West,NSW,Major Cities of Australia
628,Wagin,Western Australia - Wheat Belt,WA,Outer Regional Australia
629,Manjimup,Bunbury,WA,Outer Regional Australia
630,Fairfield,Sydney - Parramatta,NSW,Major Cities of Australia
631,Murray,Mandurah,WA,Major Cities of Australia
632,Denmark,Western Australia - Wheat Belt,WA,Outer Regional Australia
633,Singleton,Hunter Valley exc Newcastle,NSW,Outer Regional Australia
634,Banana,Central Queensland,QLD,Remote Australia
635,Boddington,Western Australia - Wheat Belt,WA,Inner Regional Australia
636,Bruce Rock,Western Australia - Wheat Belt,WA,Remote Australia
637,Swan,Perth - North East,WA,Inner Regional Australia
638,Kulin,Western Australia - Wheat Belt,WA,Remote Australia
639,Cuballing,Western Australia - Wheat Belt,WA,Outer Regional Australia
640,Dungog,Hunter Valley exc Newcastle,NSW,Outer Regional Australia
641,Carnarvon,Western Australia - Outback (South),WA,Very Remote Australia
642,Hindmarsh,North West,VIC,Outer Regional Australia
643,Wyndham-East Kimberley,Western Australia - Outback (North),WA,Very Remote Australia
644,Beverley,Western Australia - Wheat Belt,WA,Outer Regional Australia
645,Ravensthorpe,Western Australia - Outback (South),WA,Very Remote Australia
646,Joondalup,Perth - North West,WA,Major Cities of Australia
647,Mount Isa,Queensland - Outback,QLD,Very Remote Australia
648,Moorabool,Melbourne - West,VIC,Major Cities of Australia
649,Coober Pedy,South Australia - Outback,SA,Very Remote Australia
650,Central Highlands (Qld),Central Queensland,QLD,Very Remote Australia
651,Katherine,Northern Territory - Outback,NT,Remote Australia
652,Dalwallinu,Western Australia - Wheat Belt,WA,Remote Australia
653,Gnowangerup,Western Australia - Wheat Belt,WA,Remote Australia
654,Junee,Riverina,NSW,Outer Regional Australia
655,Loddon,Ballarat,VIC,Inner Regional Australia
656,Goulburn Mulwaree,Capital Region,NSW,Outer Regional Australia
657,Goyder,Barossa - Yorke - Mid North,SA,Outer Regional Australia
658,Wongan-Ballidu,Western Australia - Wheat Belt,WA,Remote Australia
659,Collie,Bunbury,WA,Inner Regional Australia
660,Armadale,Perth - South East,WA,Inner Regional Australia
661,Cootamundra-Gundagai,Riverina,NSW,Outer Regional Australia
662,Wanneroo,Perth - North West,WA,Inner Regional Australia
663,East Pilbara,Western Australia - Outback (North),WA,Very Remote Australia
664,Menzies,Western Australia - Outback (South),WA,Very Remote Australia
665,Halls Creek,Western Australia - Outback (North),WA,Very Remote Australia
666,Irwin,Western Australia - Outback (South),WA,Outer Regional Australia
667,Walgett,Far West and Orana,NSW,Very Remote Australia
668,Yarrabah,Cairns,QLD,Outer Regional Australia
669,Pingelly,Western Australia - Wheat Belt,WA,Outer Regional Australia
670,Narrabri,New England and North West,NSW,Remote Australia
671,Broome,Western Australia - Outback (North),WA,Remote Australia
672,Kondinin,Western Australia - Wheat Belt,WA,Remote Australia
673,Cue,Western Australia - Outback (South),WA,Very Remote Australia
674,Hay,Murray,NSW,Outer Regional Australia
675,Wollondilly,Sydney - Outer South West,NSW,Major Cities of Australia
676,Kalamunda,Perth - South East,WA,Major Cities of Australia
677,Fraser Coast,Wide Bay,QLD,Remote Australia
678,Quairading,Western Australia - Wheat Belt,WA,Outer Regional Australia
679,East Gippsland,Latrobe - Gippsland,VIC,Remote Australia
680,Randwick,Sydney - City and Inner South,NSW,Major Cities of Australia
681,Mundaring,Perth - North East,WA,Major Cities of Australia
682,Mornington,Queensland - Outback,QLD,Very Remote Australia
683,Wandering,Western Australia - Wheat Belt,WA,Outer Regional Australia
684,Nannup,Bunbury,WA,Outer Regional Australia
685,Broken Hill,Far West and Orana,NSW,Outer Regional Australia
686,Ngaanyatjarraku,Western Australia - Outback (South),WA,Very Remote Australia
687,Brisbane,Brisbane - West,QLD,Inner Regional Australia
688,Corrigin,Western Australia - Wheat Belt,WA,Remote Australia
689,Anangu Pitjantjatjara Yankunytjatjara,South Australia - Outback,SA,Very Remote Australia
690,Fremantle,Perth - South West,WA,Major Cities of Australia
691,Toodyay,Western Australia - Wheat Belt,WA,Inner Regional Australia
692,Streaky Bay,South Australia - Outback,SA,Very Remote Australia
693,Southern Grampians,Warrnambool and South West,VIC,Inner Regional Australia
694,Victoria Plains,Western Australia - Wheat Belt,WA,Outer Regional Australia
695,Northampton,Western Australia - Outback (South),WA,Remote Australia
696,Bridgetown-Greenbushes,Bunbury,WA,Outer Regional Australia
697,Kimba,South Australia - Outback,SA,Remote Australia
698,Katanning,Western Australia - Wheat Belt,WA,Outer Regional Australia
699,Jerramungup,Western Australia - Wheat Belt,WA,Remote Australia
700,Carnamah,Western Australia - Outback (South),WA,Remote Australia
701,Ashburton,Western Australia - Outback (North),WA,Very Remote Australia
702,West Arthur,Western Australia - Wheat Belt,WA,Outer Regional Australia
703,Cootamundra-Gundagai,Riverina,NSW,Inner Regional Australia
704,Mount Gambier,South Australia - South East,SA,Outer Regional Australia
705,South Perth,Perth - South East,WA,Major Cities of Australia
706,Brookton,Western Australia - Wheat Belt,WA,Outer Regional Australia
707,Burke,Queensland - Outback,QLD,Very Remote Australia
708,Nedlands,Perth - Inner,WA,Major Cities of Australia
709,Gingin,Western Australia - Wheat Belt,WA,Outer Regional Australia
710,Stirling,Perth - Inner,WA,Major Cities of Australia
711,Franklin Harbour,South Australia - Outback,SA,Remote Australia
712,Northern Beaches,Sydney - Northern Beaches,NSW,Inner Regional Australia
713,Coorong,South Australia - South East,SA,Inner Regional Australia
714,Waroona,Bunbury,WA,Inner Regional Australia
715,Cunderdin,Western Australia - Wheat Belt,WA,Outer Regional Australia
716,Greater Geraldton,Western Australia - Outback (South),WA,Remote Australia
717,Lake Grace,Western Australia - Wheat Belt,WA,Remote Australia
718,Kiama,Illawarra,NSW,Major Cities of Australia
719,Oberon,Central West,NSW,Inner Regional Australia
720,Cranbrook,Western Australia - Wheat Belt,WA,Outer Regional Australia
721,Break O'Day,Launceston and North East,TAS,Remote Australia
722,Victoria Daly,Northern Territory - Outback,NT,Remote Australia
723,Murrumbidgee,Murray,NSW,Outer Regional Australia
724,Sydney,Sydney - Eastern Suburbs,NSW,Major Cities of Australia
725,Chapman Valley,Western Australia - Outback (South),WA,Outer Regional Australia
726,Kingston (SA),South Australia - South East,SA,Remote Australia
727,Mandurah,Mandurah,WA,Inner Regional Australia
728,Kalamunda,Perth - South East,WA,Inner Regional Australia
729,Kellerberrin,Western Australia - Wheat Belt,WA,Outer Regional Australia
730,Kalamunda,Perth - North East,WA,Inner Regional Australia
731,Balonne,Darling Downs - Maranoa,QLD,Very Remote Australia
732,Murray River,Murray,NSW,Remote Australia
733,Ararat,Ballarat,VIC,Inner Regional Australia
734,Wagait,Northern Territory - Outback,NT,Remote Australia
735,Weipa,Queensland - Outback,QLD,Very Remote Australia
736,Wyndham,Melbourne - West,VIC,Inner Regional Australia
737,Barossa,Adelaide - North,SA,Major Cities of Australia
738,Pyrenees,Ballarat,VIC,Outer Regional Australia
739,Pormpuraaw,Queensland - Outback,QLD,Very Remote Australia
740,Wongan-Ballidu,Western Australia - Wheat Belt,WA,Outer Regional Australia
741,Karratha,Western Australia - Outback (North),WA,Very Remote Australia
742,Bourke,Far West and Orana,NSW,Very Remote Australia
743,Bathurst,Central West,NSW,Outer Regional Australia
744,Redland,Brisbane - East,QLD,Remote Australia
745,Moora,Western Australia - Wheat Belt,WA,Outer Regional Australia
746,Richmond Valley,Coffs Harbour - Grafton,NSW,Outer Regional Australia
747,Upper Hunter,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
748,Unincorporated Vic,Hume,VIC,Outer Regional Australia
749,Melton,Melbourne - West,VIC,Inner Regional Australia
750,Greater Shepparton,Hume,VIC,Inner Regional Australia
751,Dungog,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
752,Chittering,Western Australia - Wheat Belt,WA,Outer Regional Australia
753,Palm Island,Townsville,QLD,Remote Australia
754,West Daly,Northern Territory - Outback,NT,Very Remote Australia
755,Mosman Park,Perth - Inner,WA,Major Cities of Australia
756,Narrogin,Western Australia - Wheat Belt,WA,Outer Regional Australia
757,Merredin,Western Australia - Wheat Belt,WA,Remote Australia
758,Unincorporated NT,Northern Territory - Outback,NT,Very Remote Australia
759,Westonia,Western Australia - Wheat Belt,WA,Remote Australia
760,Morawa,Western Australia - Outback (South),WA,Remote Australia
761,Claremont,Perth - Inner,WA,Major Cities of Australia
762,Mingenew,Western Australia - Outback (South),WA,Outer Regional Australia
763,Merredin,Western Australia - Wheat Belt,WA,Outer Regional Australia
764,Fraser Coast,Wide Bay,QLD,Outer Regional Australia
765,Murray,Western Australia - Wheat Belt,WA,Inner Regional Australia
766,The Hills,Sydney - Parramatta,NSW,Major Cities of Australia
767,Liverpool,Sydney - South West,NSW,Inner Regional Australia
768,Boddington,Western Australia - Wheat Belt,WA,Outer Regional Australia
769,Yorke Peninsula,Barossa - Yorke - Mid North,SA,Remote Australia
770,Goomalling,Western Australia - Wheat Belt,WA,Outer Regional Australia
771,Subiaco,Perth - Inner,WA,Major Cities of Australia
772,Trayning,Western Australia - Wheat Belt,WA,Remote Australia
773,Manjimup,Bunbury,WA,Remote Australia
774,Esperance,Western Australia - Outback (South),WA,Very Remote Australia
775,Franklin Harbour,South Australia - Outback,SA,Outer Regional Australia
776,West Daly,Northern Territory - Outback,NT,Remote Australia
777,Shark Bay,Western Australia - Outback (South),WA,Very Remote Australia
778,Exmouth,Western Australia - Outback (South),WA,Very Remote Australia
779,Ararat,Ballarat,VIC,Outer Regional Australia
780,Sandstone,Western Australia - Outback (South),WA,Very Remote Australia
781,Surf Coast,Warrnambool and South West,VIC,Inner Regional Australia
782,Gnowangerup,Western Australia - Wheat Belt,WA,Outer Regional Australia
783,Boyup Brook,Bunbury,WA,Outer Regional Australia
784,Cottesloe ,Perth - Inner,WA,Major Cities of Australia
785,Wickepin,Western Australia - Wheat Belt,WA,Remote Australia
786,Leonora,Western Australia - Outback (South),WA,Very Remote Australia
